"","lon","lat","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1",-105.297188,40.035667,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"2",-109.551966,47.317279,6.33355188369751,14.7789373397827,36.640251159668,907.295593261719,27.7782497406006,-12.5570001602173,40.3352508544922,14.9351253509521,-4.73675012588501,17.6032905578613,-4.73675012588501,425,80,14,59.9729690551758,196,54,162,54
"3",-105.29187,40.051617,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"4",-105.291922,40.051645,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"5",-105.291467,40.051689,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"6",-105.292922,40.049278,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"7",-105.291162,40.052106,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"8",-105.292277,40.050641,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"9",-105.29194,40.051696,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"10",-105.292447,40.051746,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"11",-105.292531,40.05168,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"12",-105.292647,40.051692,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"13",-105.293007,40.051726,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"14",-105.294048,40.0514,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"15",-105.294173,40.051318,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"16",-105.291763,40.050309,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"17",-105.286628,40.051617,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"18",-105.286565,40.049132,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"19",-105.292472,40.052065,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"20",-105.292844,40.052999,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"21",-105.289545,40.0517,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"22",-105.292162,40.051922,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"23",-105.282126,40.124765,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
"24",-105.282124,40.124606,9.46758365631104,16.400749206543,41.6513748168945,834.439575195312,30.4637508392334,-8.91250038146973,39.3762512207031,13.1078748703003,-0.251250118017197,20.2183742523193,-0.251250118017197,454,69,15,43.4080543518066,175,49,136,49
